Title,Note,URL,Tags,Comment
92 White Post Ln,Vintage shop sat and sun,https://www.google.com/maps/place/92+White+Post+Ln/data=!4m2!3m1!1s0x48761d6cb827ed15:0x6e97e6afd636f997,,
Troy Bar,,https://www.google.com/maps/place/Troy+Bar/data=!4m2!3m1!1s0x48761cbafb2bb617:0x9e31108a024f015c,,
Smokey Jerkey,,https://www.google.com/maps/place/Smokey+Jerkey/data=!4m2!3m1!1s0x487603002bdb27ad:0xfdccc676e51deb28,,
La Barra,Colombian fried chicken,https://www.google.com/maps/place/La+Barra/data=!4m2!3m1!1s0x487605e57d2602b3:0xa44526367779a76a,,
Barra10,,https://www.google.com/maps/place/Barra10/data=!4m2!3m1!1s0x48760788465e2067:0xb9ae243b7f5d4fab,,
The Kati Roll Company,,https://www.google.com/maps/place/The+Kati+Roll+Company/data=!4m2!3m1!1s0x48761dd924add63d:0xf6a8cd8542c01051,,
Oi spaghetti + tiramisù,secret sauce,https://www.google.com/maps/place/Oi+spaghetti+%2B+tiramis%C3%B9/data=!4m2!3m1!1s0x487603a11a35f38f:0x550498d91f7330a7,,
Plates Restaurant & Food Studio,Walked by it looks cool,https://www.google.com/maps/place/Plates+Restaurant+%26+Food+Studio/data=!4m2!3m1!1s0x48761cbbf41345f1:0x48c4a56577289c52,,
The Phoenix,gloomy night first Saturday of the month ,https://www.google.com/maps/place/The+Phoenix/data=!4m2!3m1!1s0x48761ad52179b1a3:0x1d78c7ec6f1dfb95,,
Lyaness,cocktail bar,https://www.google.com/maps/place/Lyaness/data=!4m2!3m1!1s0x487604b1c39362e5:0xf055a5e68f221c46,,
Katzenjammers,Bavarian pub,https://www.google.com/maps/place/Katzenjammers/data=!4m2!3m1!1s0x48760357826bd677:0x6959653234dafc6d,,
Swift Borough,Irish coffee,https://www.google.com/maps/place/Swift+Borough/data=!4m2!3m1!1s0x487603c2912774f7:0x4ea110ab16c44a41,,
Swift Shoreditch,,https://www.google.com/maps/place/Swift+Shoreditch/data=!4m2!3m1!1s0x48761d99787c80a7:0xe724fcf30809a0b0,,
The Boot & Flogger,Pub,https://www.google.com/maps/place/The+Boot+%26+Flogger/data=!4m2!3m1!1s0x487603580139b089:0x391ec406cfe7bce6,,
Tap & Bottle,Wine bar,https://www.google.com/maps/place/Tap+%26+Bottle/data=!4m2!3m1!1s0x487604a7e52ef97f:0xc21e4c5707363e1,,
The Kati Roll Company,,https://www.google.com/maps/place/The+Kati+Roll+Company/data=!4m2!3m1!1s0x48761b2b2da52baf:0xe357ecbb841b341b,,
Dr Vinyl,,https://www.google.com/maps/place/Dr+Vinyl/data=!4m2!3m1!1s0x487607f9e09ada4d:0x8948eb61643e4935,,
Cafe Compose,Egg drop,https://www.google.com/maps/place/Cafe+Compose/data=!4m2!3m1!1s0x48760522874efc29:0x62e5ea873462fbb1,,
Blacklock Soho,,https://www.google.com/maps/place/Blacklock+Soho/data=!4m2!3m1!1s0x487604d386103039:0x43d15166fe8299f5,,
Paul Rothe & Son,,https://www.google.com/maps/place/Paul+Rothe+%26+Son/data=!4m2!3m1!1s0x48761ad2ee16db9f:0xef6fc3d29e5179aa,,
La Maritxu London - Basque Cheesecake,,https://www.google.com/maps/place/La+Maritxu+London+-+Basque+Cheesecake/data=!4m2!3m1!1s0x48760fa21eb93a8d:0x3db06836ac7fbc8a,,
Tongue & Brisket,,https://www.google.com/maps/place/Tongue+%26+Brisket/data=!4m2!3m1!1s0x48761b2b5aace245:0x2b42815531ddcc58,,
Mare Street Market,,https://www.google.com/maps/place/Mare+Street+Market/data=!4m2!3m1!1s0x48761ce7b898fdcb:0xb8989a8137f5b23c,,
Normah's,,https://www.google.com/maps/place/Normah's/data=!4m2!3m1!1s0x48760555f2eacba5:0xb6707bd1d7209ca8,,
